metric,metric_label,index,lag_months,pearson_r,pearson_p,pearson_p_neff,spearman_r,spearman_p,spearman_p_neff,n,n_eff,sig_pearson_nom,sig_spearman_nom,sig_pearson,sig_spearman
mean_precip,Precipitation moy. (mm),Nino12,3,-0.1082,0.3334,0.3334,-0.104,0.3525,0.3525,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino3,3,-0.1573,0.1581,0.1581,-0.1281,0.2515,0.2515,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino34,3,-0.0683,0.5421,0.5421,-0.0078,0.9442,0.9442,82,82,,,,
mean_precip,Precipitation moy. (mm),Nino4,3,-0.0193,0.8633,0.8633,-0.0032,0.977,0.977,82,82,,,,
mean_precip,Precipitation moy. (mm),IOD,3,-0.0022,0.9846,0.9846,0.0394,0.7255,0.7255,82,82,,,,
mean_precip,Precipitation moy. (mm),IOBM,3,-0.0564,0.6148,0.6148,0.0023,0.984,0.984,82,82,,,,
mean_precip,Precipitation moy. (mm),TNA,3,-0.0329,0.769,0.769,-0.0073,0.9479,0.9479,82,82,,,,
mean_precip,Precipitation moy. (mm),TSA,3,0.2104,0.0578,0.0578,0.2082,0.0605,0.0605,82,82,,,,
mean_precip,Precipitation moy. (mm),ATL3,3,0.2666,0.0155,0.0155,0.2838,0.0098,0.0098,82,82,*,**,*,**
mean_precip,Precipitation moy. (mm),AMM,3,-0.16,0.1509,0.1509,-0.1339,0.2304,0.2304,82,82,,,,
mean_precip,Precipitation moy. (mm),AMO,3,-0.0206,0.8542,0.8542,-0.0192,0.8641,0.8641,82,82,,,,
max_anomaly,Anomalie max moy. (sigma),Nino12,3,-0.1992,0.0729,0.0785,-0.194,0.0808,0.0867,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),Nino3,3,-0.2953,0.0071,0.0087,-0.3068,0.0051,0.0063,82,78,**,**,**,**
max_anomaly,Anomalie max moy. (sigma),Nino34,3,-0.3086,0.0048,0.0063,-0.3283,0.0026,0.0036,82,77,**,**,**,**
max_anomaly,Anomalie max moy. (sigma),Nino4,3,-0.2834,0.0099,0.0125,-0.303,0.0057,0.0074,82,77,**,**,*,**
max_anomaly,Anomalie max moy. (sigma),IOD,3,-0.1563,0.1609,0.1635,-0.1612,0.148,0.1506,82,81,,,,
max_anomaly,Anomalie max moy. (sigma),IOBM,3,-0.2231,0.0439,0.0481,-0.1614,0.1474,0.1553,82,79,*,,*,
max_anomaly,Anomalie max moy. (sigma),TNA,3,-0.0532,0.6349,0.6414,-0.0776,0.4884,0.4967,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),TSA,3,0.1145,0.3056,0.315,0.0886,0.4287,0.4376,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),ATL3,3,-0.0304,0.786,0.79,-0.0402,0.72,0.7251,82,79,,,,
max_anomaly,Anomalie max moy. (sigma),AMM,3,-0.1168,0.2958,0.3083,-0.0502,0.6545,0.6627,82,78,,,,
max_anomaly,Anomalie max moy. (sigma),AMO,3,-0.018,0.8728,0.8752,0.0201,0.8577,0.8604,82,79,,,,
coverage_percent,Couverture spatiale moy. (%),Nino12,3,-0.0921,0.4107,0.4136,-0.103,0.357,0.36,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino3,3,-0.1157,0.3005,0.3036,-0.1054,0.346,0.3491,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino34,3,-0.1359,0.2234,0.2263,-0.0507,0.6513,0.6533,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),Nino4,3,-0.1207,0.2799,0.2829,-0.0279,0.8037,0.8049,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),IOD,3,-0.2314,0.0365,0.0365,-0.1967,0.0766,0.0766,82,82,*,,*,
coverage_percent,Couverture spatiale moy. (%),IOBM,3,-0.0382,0.7331,0.7347,0.0568,0.612,0.6142,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),TNA,3,0.1183,0.2896,0.2927,0.1423,0.2021,0.2049,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),TSA,3,0.1094,0.328,0.331,0.0212,0.8498,0.8508,82,81,,,,
coverage_percent,Couverture spatiale moy. (%),ATL3,3,0.0451,0.6873,0.6892,0.0433,0.6993,0.7011,82,81,,,,
